system:index,Algae_Tao,Dien_Tich_Nuoc_km2,NDTI_DoDuc,Nam,Thang,Tinh,.geo
0_2_2,0.016492390942075885,699.4049283221811,-0.03705338550200036,2020,3.0,Ca Mau,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,-0.1304683369675852,165.15539966544117,-0.03489984333910977,2020,3.0,Can Tho,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,0.3183405814426286,4.82497734375,-0.06624559078010775,2020,3.0,Cao Bang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,0.06300308199246903,134.4996075046569,-0.14641089792384365,2020,3.0,Da Nang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,-0.14518907237424322,147.54539079730398,-0.1581618012264544,2020,3.0,Dak Lak,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_7,0.07156680808509275,20.43253101158088,-0.08821386390321549,2020,3.0,Dien Bien,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_8,-0.14716354885518892,411.52773654221824,-0.19831623894208913,2020,3.0,Dong Nai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_9,-0.11637151017384777,245.47767594350495,-0.0716843041548642,2020,3.0,Dong Thap,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_10,-0.11299753802271621,167.92033404062502,-0.15451365076112478,2020,3.0,Gia Lai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_11,0.12950204794437056,305.17331174160535,-0.06311076108724784,2020,3.0,Ha Noi,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_12,0.09086262736506666,162.4806028134191,-0.1189162279149866,2020,3.0,Ha Tinh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_13,0.12758382347396685,238.76043273982825,-0.053268243911367225,2020,3.0,Hai Phong,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_14,-0.03579546206964294,367.8353918875611,-0.09489219536080536,2020,3.0,Ho Chi Minh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_15,0.14886494220017907,346.05609742996324,-0.025377340359737433,2020,3.0,Hung Yen,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_16,-0.09425005571394492,83.13326206262249,-0.0930197330780512,2020,3.0,Khanh Hoa,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_17,0.0495534309807227,68.95937849148285,-0.10981436482165931,2020,3.0,Lai Chau,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_18,-0.10877404676098125,129.9656987234069,-0.1992503390578967,2020,3.0,Lam Dong,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_19,0.22236657593499773,8.351120134620098,-0.11360198616799498,2020,3.0,Lang Son,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_20,-0.01509925708319086,152.2138835538603,-0.20184023500213652,2020,3.0,Lao Cai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_21,-0.041055160589298485,110.9916838639706,-0.14478784899526526,2020,3.0,Nghe An,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_22,0.11892388278489016,329.41342455704654,-0.05103078254039002,2020,3.0,Ninh Binh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_23,-0.11365021175400829,145.49376901127445,-0.1976115027028817,2020,3.0,Phu Tho,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_24,-0.043399605802346704,86.00045933272061,-0.17351453576085504,2020,3.0,Quang Ngai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_25,0.028513428149526406,40.09939678082111,-0.10438808694264004,2020,3.0,Quang Ninh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_26,0.08452940396128956,145.54540152928922,-0.12834005445792954,2020,3.0,Quang Tri,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_27,-0.019643410574162183,141.10750470759803,-0.09639275858084366,2020,3.0,Son La,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_28,-0.12744698317427014,148.67392761617648,-0.11741313471335114,2020,3.0,Tay Ninh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_29,0.03655675110365138,42.347111804901964,-0.12778851839632144,2020,3.0,Thai Nguyen,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_30,0.015329488297908875,122.84917003486518,-0.11247455865818089,2020,3.0,Thanh Hoa,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_31,0.06758046591377387,66.12974432058813,-0.12765167613793735,2020,3.0,Thua Thien Hue,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_32,-0.11781921809437375,33.80079044148284,-0.25818300213078926,2020,3.0,Tuyen Quang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_33,-0.11112916589645143,445.437634887071,-0.04870174642312689,2020,3.0,Vinh Long,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,-0.022287093333099747,301.13128680294125,-0.050324165337364155,2020,4.0,An Giang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,0.022224731188022404,26.545672181740198,-0.09806933596021211,2020,4.0,Bac Ninh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,-0.03239424431212529,270.08986073425245,-0.020236963339851848,2020,4.0,Ca Mau,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,-0.13121167976118658,110.8843032557598,-0.024274525970751533,2020,4.0,Can Tho,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,0.30876406695662845,4.131159978247549,-0.08319233915419647,2020,4.0,Cao Bang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,-0.03170631401724793,96.96459904515928,-0.16495108944751397,2020,4.0,Da Nang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,-0.10806014615676741,113.63421772395836,-0.12146538926000491,2020,4.0,Dak Lak,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_7,-0.0514230636520817,10.495737236519606,-0.1358073676182974,2020,4.0,Dien Bien,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_8,-0.14069399313610337,388.42174716305146,-0.20311892769968962,2020,4.0,Dong Nai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_9,-0.12904166270635797,204.65704183388488,-0.07569917808341488,2020,4.0,Dong Thap,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_10,-0.11802024796081834,140.4459308219363,-0.14104142999186017,2020,4.0,Gia Lai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_11,0.01059816102464034,108.44202220998775,-0.03858907653359101,2020,4.0,Ha Noi,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_12,0.04968705046688596,82.07003206672793,-0.13192895038886324,2020,4.0,Ha Tinh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_13,-0.051611273036765395,56.228712692034314,-0.05944987366730597,2020,4.0,Hai Phong,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_14,-0.06040120571220517,327.9610920544117,-0.0870912491348729,2020,4.0,Ho Chi Minh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_15,-0.1167207973636664,22.35157639509804,-0.006894980134578848,2020,4.0,Hung Yen,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_16,-0.07561532819304984,53.514312870588235,-0.07121942052500764,2020,4.0,Khanh Hoa,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_17,-0.02074390469487481,43.258238912867654,-0.13892853544569964,2020,4.0,Lai Chau,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_18,-0.09385189126577129,110.21120197886029,-0.19762064898043155,2020,4.0,Lam Dong,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_19,0.19738755580917425,3.7066322092524513,-0.10992616343266164,2020,4.0,Lang Son,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_20,-0.10510962163226802,116.06567431274509,-0.26044794428232926,2020,4.0,Lao Cai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_21,0.04054979973566048,85.47284701531864,-0.13118600791401253,2020,4.0,Nghe An,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_22,0.0152323018840641,71.92146174246324,-0.0515313592577438,2020,4.0,Ninh Binh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_23,-0.07835947041536134,126.75374591605392,-0.13491146033682502,2020,4.0,Phu Tho,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_24,-0.10293632465769105,64.86518723915442,-0.21987875765511639,2020,4.0,Quang Ngai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_25,0.029399698895108652,150.25069372990194,-0.08369259688154564,2020,4.0,Quang Ninh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_26,0.015546286477616033,67.16652474638482,-0.15088504219992402,2020,4.0,Quang Tri,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_27,-0.06843053495411708,95.89138504705882,-0.07514720353815471,2020,4.0,Son La,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_28,-0.1936841297817746,118.12971566758581,-0.1366140792297751,2020,4.0,Tay Ninh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_29,0.04395483496253701,17.09440511697304,-0.18722747567585393,2020,4.0,Thai Nguyen,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_30,0.08946591308087631,95.55628482040441,-0.10496796073484553,2020,4.0,Thanh Hoa,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_31,0.01006840558055988,45.54102459142153,-0.17314104744808,2020,4.0,Thua Thien Hue,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_32,0.056900143445096536,37.38452459797794,-0.2512174539995625,2020,4.0,Tuyen Quang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_33,-0.1603858393070662,347.57814308615195,-0.04856032209521056,2020,4.0,Vinh Long,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,0.007527770592812155,485.76460653290445,-0.06564395459815277,2020,5.0,An Giang,"{""type"":""MultiPoint"",""coordinates"":[]}"
